feature1,feature2
-9.6314025523,-7.94843690291
-4.85363271117,-4.50833146984
-11.4561720268,-3.24102334118
6.8633452702,-4.0589309292
-15.0416574898,0.777622561587
-18.1242766098,-7.32643370931
-7.51013513664,-14.0043732372
2.58199015491,2.26744177742
-2.42301449832,-1.77986677337
-13.5214158621,-8.55574990385
-12.4868878554,-11.1025259275
-0.929765593826,-7.94167559686
-1.16412553142,-5.43225131628
11.135209422,-5.13061260107
-8.46832910285,2.64633702398
-4.30291772561,-11.8547632962
-7.46767858189,-2.34587560841
-13.1114728487,-1.95046584497
6.48428238313,-12.4507248832
-2.88701004553,-15.7841367506
-4.03710473114,-12.2070017058
-11.623067826,-3.00318635004
-5.1341108605,-11.6629097269
-4.01424864503,-16.6006738775
3.77402452712,4.07783316384
-18.4122788919,3.22099666559
-19.2872778845,-7.7570232263
-13.6755179409,-8.39328431465
-24.7128222886,-12.2116006406
-17.6602103008,-0.352400918843
-10.491415887,-4.21161508533
-3.01550625904,-14.9597003732
-11.5273021431,-2.6497272695
-5.7230008281,-8.99418956972
-7.26485179468,-2.42202428725
-13.6630546665,7.76146859323
1.4591462432,-13.434057246
-7.11362381395,-8.5793606568
-13.8565217689,-7.12488979354
-8.10965139675,0.65474211201
-4.23262898786,-4.44356942166
-9.85692226125,-10.0376656179
-1.03586257783,-11.4982563473
-7.92600928097,-1.30970603301
-2.67044533281,0.369425977715
-6.70640910806,-2.76056018475
-4.15148851845,-5.74817299508
-8.65364209798,-15.5947587373
-13.8113820345,-15.3152893265
0.729875204509,-11.7048653395
5.83244928621,1.41466836652
4.46702416347,25.2420089127
-0.916677949694,3.6037275029
9.30576739677,12.6107710269
9.18031452202,7.94670301711
1.20670423801,-4.69227496424
3.50636649251,11.033326499
-1.05739054167,-0.14414763481
1.47605709457,3.32957211548
7.23121369994,-13.4201622007
12.1226050802,6.58868403772
28.0319415398,-5.44353156026
2.31072463355,13.7570767731
10.0822436985,10.5510285765
8.03969078397,5.6874262396
7.71636787229,-1.48722208174
-8.69854295486,24.8724007825
10.9854711977,2.53421525866
8.89421492875,16.7095627525
5.06787312405,2.76448491718
6.66463673096,19.796490266
11.7821270216,11.748490798
1.44894469604,-10.5392889625
15.6579669587,-0.640334905218
9.91603200841,0.825076990662
12.6074504758,14.3874395514
-0.866443849781,-3.10849241269
-6.6283981091,19.0667367752
1.51134127037,13.1889346792
20.6528006317,-1.62294343866
16.7761935416,-7.99093874301
11.2967369287,5.51663802308
10.1304249957,3.45168551566
14.2542892897,8.88956211896
8.26012798246,12.8391499931
10.876260429,11.5802296785
19.9302507127,10.8746958485
19.7262596586,12.9536065423
12.8272023548,13.1885893769
-6.93011539823,5.18891922628
5.87885655824,11.522813668
10.888539899,-1.00772816935
12.5172638726,9.2428016598
13.2829444149,7.21263552374
15.3089752503,4.88716136088
-0.910084778091,12.2210090804
4.26675683416,6.98338631995
10.8844341182,2.76984289368
-2.44899613067,19.2594288484
8.89273772824,3.46926566762
